0 0 0.7598 -0.026593 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
52 0 0.7598 -0.026593 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
104 0 0.7598 -0.026593 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
160 0 0.7598 -0.026593 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
212 0 0.7598 -0.026593 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
265 0 0.7598 -0.026593 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
320 0 0.7598 -0.026593 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
372 0 0.7596 -0.025786 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
428 0 0.7592 -0.024972 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
480 0 0.7588 -0.024958 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
540 0 0.7584 -0.024944 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
596 0 0.7578 -0.024123 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
648 0 0.7571 -0.0236985 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
700 0 0.7563 -0.0232705 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
752 0 0.7556 -0.023646 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
804 0 0.7545 -0.0220075 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
856 0 0.7532 -0.021162 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
908 0 0.7522 -0.022327 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
962 0 0.7506 -0.019871 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
1012 0 0.7495 -0.0218325 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
1061 0 0.7475 -0.0181625 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
1112 0 0.7461 -0.0205135 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
1168 0 0.7438 -0.016833 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
1220 0 0.7413 -0.0159455 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
1273 0 0.7394 -0.018279 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
1328 0 0.7366 -0.014581 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
1380 0 0.7335 -0.0132725 2.54639e-313 0.035 0 0.2 0.001 0 0.1 0 6.93343e-310 6.95252e-310
